group,function,value,sample_time_nanos,iteration_count
base,,,1019971,4132
base,,,1970685,8264
base,,,2952636,12396
base,,,4333071,16528
base,,,4977532,20660
base,,,5917518,24792
base,,,7312093,28924
base,,,8038202,33056
base,,,8891112,37188
base,,,9882549,41320
base,,,10853498,45452
base,,,11893218,49584
base,,,12815125,53716
base,,,13780838,57848
base,,,14769043,61980
base,,,15766706,66112
base,,,16753578,70244
base,,,17741684,74376
base,,,18813011,78508
base,,,19686359,82640
base,,,20679849,86772
base,,,21665706,90904
base,,,23376445,95036
base,,,23763569,99168
base,,,24612211,103300
base,,,25648896,107432
base,,,27214398,111564
base,,,27664054,115696
base,,,28622100,119828
base,,,29610657,123960
base,,,30817264,128092
base,,,31825330,132224
base,,,32751791,136356
base,,,33830243,140488
base,,,35182698,144620
base,,,36139758,148752
base,,,37489748,152884
base,,,40370722,157016
base,,,41084153,161148
base,,,41210261,165280
base,,,41784630,169412
base,,,44013351,173544
base,,,43859508,177676
base,,,43694118,181808
base,,,45848379,185940
base,,,45699862,190072
base,,,46725773,194204
base,,,47659954,198336
base,,,48779387,202468
base,,,49830132,206600
base,,,50770721,210732
base,,,52465758,214864
base,,,52957076,218996
base,,,53624153,223128
base,,,54657602,227260
base,,,55556681,231392
base,,,57241427,235524
base,,,57585004,239656
base,,,58695688,243788
base,,,64958941,247920
base,,,64502007,252052
base,,,64212735,256184
base,,,64562554,260316
base,,,63781972,264448
base,,,64735010,268580
base,,,65507309,272712
base,,,66616305,276844
base,,,67555845,280976
base,,,69012493,285108
base,,,69617624,289240
base,,,70645553,293372
base,,,72126353,297504
base,,,72180742,301636
base,,,73780734,305768
base,,,75369018,309900
base,,,79336061,314032
base,,,79894223,318164
base,,,78187383,322296
base,,,80471928,326428
base,,,80768725,330560
base,,,86410595,334692
base,,,85279646,338824
base,,,83178000,342956
base,,,84336899,347088
base,,,85720915,351220
base,,,87422002,355352
base,,,86679612,359484
base,,,87879848,363616
base,,,89348322,367748
base,,,89518080,371880
base,,,90500073,376012
base,,,91512274,380144
base,,,92787237,384276
base,,,93731999,388408
base,,,94528789,392540
base,,,95850241,396672
base,,,96480226,400804
base,,,98002569,404936
base,,,98644788,409068
base,,,99626762,413200
