group,function,value,sample_time_nanos,iteration_count
ccn bench,,,1524257,9
ccn bench,,,1192117,18
ccn bench,,,884649,27
ccn bench,,,1230399,36
ccn bench,,,12515004,45
ccn bench,,,2696854,54
ccn bench,,,5681534,63
ccn bench,,,16459638,72
ccn bench,,,8001419,81
ccn bench,,,2957230,90
ccn bench,,,4931779,99
ccn bench,,,11587622,108
ccn bench,,,7753375,117
ccn bench,,,1973320,126
ccn bench,,,6670395,135
ccn bench,,,8684826,144
ccn bench,,,49072074,153
ccn bench,,,3887510,162
ccn bench,,,6879409,171
ccn bench,,,10312665,180
ccn bench,,,12390772,189
ccn bench,,,1548720,198
ccn bench,,,31485559,207
ccn bench,,,6914830,216
ccn bench,,,18449643,225
ccn bench,,,11545162,234
ccn bench,,,3815890,243
ccn bench,,,1947135,252
ccn bench,,,15569159,261
ccn bench,,,8818119,270
ccn bench,,,94412166,279
ccn bench,,,16856026,288
ccn bench,,,19654680,297
ccn bench,,,7367853,306
ccn bench,,,7716618,315
ccn bench,,,10584530,324
ccn bench,,,8792092,333
ccn bench,,,8120635,342
ccn bench,,,37495414,351
ccn bench,,,5742588,360
ccn bench,,,37047244,369
ccn bench,,,38036268,378
ccn bench,,,26114435,387
ccn bench,,,49901096,396
ccn bench,,,3158640,405
ccn bench,,,6746468,414
ccn bench,,,39484941,423
ccn bench,,,3333538,432
ccn bench,,,26396565,441
ccn bench,,,150082536,450
ccn bench,,,7267081,459
ccn bench,,,152327024,468
ccn bench,,,11339906,477
ccn bench,,,11468020,486
ccn bench,,,96571080,495
ccn bench,,,49811900,504
ccn bench,,,46595224,513
ccn bench,,,83212638,522
ccn bench,,,21615789,531
ccn bench,,,4218628,540
ccn bench,,,55864696,549
ccn bench,,,34241385,558
ccn bench,,,56572927,567
ccn bench,,,41988272,576
ccn bench,,,23380024,585
ccn bench,,,19126179,594
ccn bench,,,44508872,603
ccn bench,,,40275854,612
ccn bench,,,90234670,621
ccn bench,,,10005559,630
ccn bench,,,63556938,639
ccn bench,,,42101126,648
ccn bench,,,64452782,657
ccn bench,,,110936721,666
ccn bench,,,5259366,675
ccn bench,,,73109991,684
ccn bench,,,5392095,693
ccn bench,,,34269059,702
ccn bench,,,28408314,711
ccn bench,,,5590220,720
ccn bench,,,154793615,729
ccn bench,,,30211238,738
ccn bench,,,92989107,747
ccn bench,,,258997505,756
ccn bench,,,183148172,765
ccn bench,,,150854060,774
ccn bench,,,18888075,783
ccn bench,,,18951278,792
ccn bench,,,6212527,801
ccn bench,,,6318399,810
ccn bench,,,81568362,819
ccn bench,,,20583819,828
ccn bench,,,55224184,837
ccn bench,,,49563686,846
ccn bench,,,183155560,855
ccn bench,,,110395015,864
ccn bench,,,6919139,873
ccn bench,,,96930214,882
ccn bench,,,29595280,891
ccn bench,,,143729032,900
