group,function,value,sample_time_nanos,iteration_count
encrypt_128_4_100,encryption time,100,1006797,4
encrypt_128_4_100,encryption time,100,2004892,8
encrypt_128_4_100,encryption time,100,3009688,12
encrypt_128_4_100,encryption time,100,4112626,16
encrypt_128_4_100,encryption time,100,5015462,20
encrypt_128_4_100,encryption time,100,6017861,24
encrypt_128_4_100,encryption time,100,7187101,28
encrypt_128_4_100,encryption time,100,8055102,32
encrypt_128_4_100,encryption time,100,9269064,36
encrypt_128_4_100,encryption time,100,10043401,40
encrypt_128_4_100,encryption time,100,11036844,44
encrypt_128_4_100,encryption time,100,12037649,48
encrypt_128_4_100,encryption time,100,13038173,52
encrypt_128_4_100,encryption time,100,14093430,56
encrypt_128_4_100,encryption time,100,15112979,60
encrypt_128_4_100,encryption time,100,16088732,64
encrypt_128_4_100,encryption time,100,17049152,68
encrypt_128_4_100,encryption time,100,18053402,72
encrypt_128_4_100,encryption time,100,19053984,76
encrypt_128_4_100,encryption time,100,20056847,80
encrypt_128_4_100,encryption time,100,21267462,84
encrypt_128_4_100,encryption time,100,22225638,88
encrypt_128_4_100,encryption time,100,23372373,92
encrypt_128_4_100,encryption time,100,24222133,96
encrypt_128_4_100,encryption time,100,25160820,100
encrypt_128_4_100,encryption time,100,26134855,104
encrypt_128_4_100,encryption time,100,27405462,108
encrypt_128_4_100,encryption time,100,28231329,112
encrypt_128_4_100,encryption time,100,29275450,116
encrypt_128_4_100,encryption time,100,30330776,120
encrypt_128_4_100,encryption time,100,31359552,124
encrypt_128_4_100,encryption time,100,32358607,128
encrypt_128_4_100,encryption time,100,33188095,132
encrypt_128_4_100,encryption time,100,34495994,136
encrypt_128_4_100,encryption time,100,35810076,140
encrypt_128_4_100,encryption time,100,36467849,144
encrypt_128_4_100,encryption time,100,37448360,148
encrypt_128_4_100,encryption time,100,38418612,152
encrypt_128_4_100,encryption time,100,39546908,156
encrypt_128_4_100,encryption time,100,40178892,160
encrypt_128_4_100,encryption time,100,41312740,164
encrypt_128_4_100,encryption time,100,42275735,168
encrypt_128_4_100,encryption time,100,43382429,172
encrypt_128_4_100,encryption time,100,44450041,176
encrypt_128_4_100,encryption time,100,45454320,180
encrypt_128_4_100,encryption time,100,46319152,184
encrypt_128_4_100,encryption time,100,47424102,188
encrypt_128_4_100,encryption time,100,48459123,192
encrypt_128_4_100,encryption time,100,49939595,196
encrypt_128_4_100,encryption time,100,50719566,200
encrypt_128_4_100,encryption time,100,51278652,204
encrypt_128_4_100,encryption time,100,52379421,208
encrypt_128_4_100,encryption time,100,54065347,212
encrypt_128_4_100,encryption time,100,54506140,216
encrypt_128_4_100,encryption time,100,55519616,220
encrypt_128_4_100,encryption time,100,56502507,224
encrypt_128_4_100,encryption time,100,57430158,228
encrypt_128_4_100,encryption time,100,58647114,232
encrypt_128_4_100,encryption time,100,59383579,236
encrypt_128_4_100,encryption time,100,61217297,240
encrypt_128_4_100,encryption time,100,62169165,244
encrypt_128_4_100,encryption time,100,62620880,248
encrypt_128_4_100,encryption time,100,63503034,252
encrypt_128_4_100,encryption time,100,64436705,256
encrypt_128_4_100,encryption time,100,65762318,260
encrypt_128_4_100,encryption time,100,66628450,264
encrypt_128_4_100,encryption time,100,67593558,268
encrypt_128_4_100,encryption time,100,68833254,272
encrypt_128_4_100,encryption time,100,69968265,276
encrypt_128_4_100,encryption time,100,70653529,280
encrypt_128_4_100,encryption time,100,71699426,284
encrypt_128_4_100,encryption time,100,72692649,288
encrypt_128_4_100,encryption time,100,74272562,292
encrypt_128_4_100,encryption time,100,74643176,296
encrypt_128_4_100,encryption time,100,75638198,300
encrypt_128_4_100,encryption time,100,76802475,304
encrypt_128_4_100,encryption time,100,77889604,308
encrypt_128_4_100,encryption time,100,78534026,312
encrypt_128_4_100,encryption time,100,79884696,316
encrypt_128_4_100,encryption time,100,83545223,320
encrypt_128_4_100,encryption time,100,81552357,324
encrypt_128_4_100,encryption time,100,82947136,328
encrypt_128_4_100,encryption time,100,83772876,332
encrypt_128_4_100,encryption time,100,84906828,336
encrypt_128_4_100,encryption time,100,86402365,340
encrypt_128_4_100,encryption time,100,87131837,344
encrypt_128_4_100,encryption time,100,87721469,348
encrypt_128_4_100,encryption time,100,88858178,352
encrypt_128_4_100,encryption time,100,90090415,356
encrypt_128_4_100,encryption time,100,90773693,360
encrypt_128_4_100,encryption time,100,92555736,364
encrypt_128_4_100,encryption time,100,93540651,368
encrypt_128_4_100,encryption time,100,93877381,372
encrypt_128_4_100,encryption time,100,95206745,376
encrypt_128_4_100,encryption time,100,96479586,380
encrypt_128_4_100,encryption time,100,97190715,384
encrypt_128_4_100,encryption time,100,98296594,388
encrypt_128_4_100,encryption time,100,99519113,392
encrypt_128_4_100,encryption time,100,100033349,396
encrypt_128_4_100,encryption time,100,101154461,400
