group,function,value,sample_time_nanos,iteration_count
encrypt_128_4_100,encryption time,70,960785,4
encrypt_128_4_100,encryption time,70,1939989,8
encrypt_128_4_100,encryption time,70,2887329,12
encrypt_128_4_100,encryption time,70,3915546,16
encrypt_128_4_100,encryption time,70,4934444,20
encrypt_128_4_100,encryption time,70,5734446,24
encrypt_128_4_100,encryption time,70,6666910,28
encrypt_128_4_100,encryption time,70,7725615,32
encrypt_128_4_100,encryption time,70,8675472,36
encrypt_128_4_100,encryption time,70,9650061,40
encrypt_128_4_100,encryption time,70,10561105,44
encrypt_128_4_100,encryption time,70,11439002,48
encrypt_128_4_100,encryption time,70,12310709,52
encrypt_128_4_100,encryption time,70,13391091,56
encrypt_128_4_100,encryption time,70,14224190,60
encrypt_128_4_100,encryption time,70,15145799,64
encrypt_128_4_100,encryption time,70,16180692,68
encrypt_128_4_100,encryption time,70,17197660,72
encrypt_128_4_100,encryption time,70,18390752,76
encrypt_128_4_100,encryption time,70,19658095,80
encrypt_128_4_100,encryption time,70,20653326,84
encrypt_128_4_100,encryption time,70,21573438,88
encrypt_128_4_100,encryption time,70,22294253,92
encrypt_128_4_100,encryption time,70,23031388,96
encrypt_128_4_100,encryption time,70,23741707,100
encrypt_128_4_100,encryption time,70,24533890,104
encrypt_128_4_100,encryption time,70,25520618,108
encrypt_128_4_100,encryption time,70,28334850,112
encrypt_128_4_100,encryption time,70,30475798,116
encrypt_128_4_100,encryption time,70,29829639,120
encrypt_128_4_100,encryption time,70,29798345,124
encrypt_128_4_100,encryption time,70,34164854,128
encrypt_128_4_100,encryption time,70,36118686,132
encrypt_128_4_100,encryption time,70,33790675,136
encrypt_128_4_100,encryption time,70,33981451,140
encrypt_128_4_100,encryption time,70,34395066,144
encrypt_128_4_100,encryption time,70,35604917,148
encrypt_128_4_100,encryption time,70,36323561,152
encrypt_128_4_100,encryption time,70,37364514,156
encrypt_128_4_100,encryption time,70,38289287,160
encrypt_128_4_100,encryption time,70,39177439,164
encrypt_128_4_100,encryption time,70,40114246,168
encrypt_128_4_100,encryption time,70,41015597,172
encrypt_128_4_100,encryption time,70,41905605,176
encrypt_128_4_100,encryption time,70,42978587,180
encrypt_128_4_100,encryption time,70,43735539,184
encrypt_128_4_100,encryption time,70,44702425,188
encrypt_128_4_100,encryption time,70,45812014,192
encrypt_128_4_100,encryption time,70,47512992,196
encrypt_128_4_100,encryption time,70,47730164,200
encrypt_128_4_100,encryption time,70,48657959,204
encrypt_128_4_100,encryption time,70,49620537,208
encrypt_128_4_100,encryption time,70,50437537,212
encrypt_128_4_100,encryption time,70,50723140,216
encrypt_128_4_100,encryption time,70,51569776,220
encrypt_128_4_100,encryption time,70,52302226,224
encrypt_128_4_100,encryption time,70,53137647,228
encrypt_128_4_100,encryption time,70,54240349,232
encrypt_128_4_100,encryption time,70,55050147,236
encrypt_128_4_100,encryption time,70,55733658,240
encrypt_128_4_100,encryption time,70,56581211,244
encrypt_128_4_100,encryption time,70,57281689,248
encrypt_128_4_100,encryption time,70,58436546,252
encrypt_128_4_100,encryption time,70,59307972,256
encrypt_128_4_100,encryption time,70,61134514,260
encrypt_128_4_100,encryption time,70,62320029,264
encrypt_128_4_100,encryption time,70,63411799,268
encrypt_128_4_100,encryption time,70,64430202,272
encrypt_128_4_100,encryption time,70,64521251,276
encrypt_128_4_100,encryption time,70,65712856,280
encrypt_128_4_100,encryption time,70,66483571,284
encrypt_128_4_100,encryption time,70,67823927,288
encrypt_128_4_100,encryption time,70,68678969,292
encrypt_128_4_100,encryption time,70,68839314,296
encrypt_128_4_100,encryption time,70,69996245,300
encrypt_128_4_100,encryption time,70,70938124,304
encrypt_128_4_100,encryption time,70,71937082,308
encrypt_128_4_100,encryption time,70,73528789,312
encrypt_128_4_100,encryption time,70,73882495,316
encrypt_128_4_100,encryption time,70,75830948,320
encrypt_128_4_100,encryption time,70,75985318,324
encrypt_128_4_100,encryption time,70,77487734,328
encrypt_128_4_100,encryption time,70,78417029,332
encrypt_128_4_100,encryption time,70,79501267,336
encrypt_128_4_100,encryption time,70,79322319,340
encrypt_128_4_100,encryption time,70,80078422,344
encrypt_128_4_100,encryption time,70,80282879,348
encrypt_128_4_100,encryption time,70,81700965,352
encrypt_128_4_100,encryption time,70,83136719,356
encrypt_128_4_100,encryption time,70,85073058,360
encrypt_128_4_100,encryption time,70,84568327,364
encrypt_128_4_100,encryption time,70,86171085,368
encrypt_128_4_100,encryption time,70,86705385,372
encrypt_128_4_100,encryption time,70,87119320,376
encrypt_128_4_100,encryption time,70,87892300,380
encrypt_128_4_100,encryption time,70,89420481,384
encrypt_128_4_100,encryption time,70,90831565,388
encrypt_128_4_100,encryption time,70,90866707,392
encrypt_128_4_100,encryption time,70,91566164,396
encrypt_128_4_100,encryption time,70,93528675,400
