group,function,value,sample_time_nanos,iteration_count
graph_10000_4_aes_128_ctr_naive,,,6324623,1
graph_10000_4_aes_128_ctr_naive,,,26921228,2
graph_10000_4_aes_128_ctr_naive,,,22341889,3
graph_10000_4_aes_128_ctr_naive,,,25743552,4
graph_10000_4_aes_128_ctr_naive,,,30834687,5
graph_10000_4_aes_128_ctr_naive,,,56523028,6
graph_10000_4_aes_128_ctr_naive,,,60851917,7
graph_10000_4_aes_128_ctr_naive,,,65786746,8
graph_10000_4_aes_128_ctr_naive,,,71677560,9
graph_10000_4_aes_128_ctr_naive,,,66645487,10
graph_10000_4_aes_128_ctr_naive,,,94725578,11
graph_10000_4_aes_128_ctr_naive,,,81458176,12
graph_10000_4_aes_128_ctr_naive,,,123116739,13
graph_10000_4_aes_128_ctr_naive,,,92606024,14
graph_10000_4_aes_128_ctr_naive,,,126773930,15
graph_10000_4_aes_128_ctr_naive,,,111672068,16
graph_10000_4_aes_128_ctr_naive,,,159730377,17
graph_10000_4_aes_128_ctr_naive,,,151751402,18
graph_10000_4_aes_128_ctr_naive,,,177703478,19
graph_10000_4_aes_128_ctr_naive,,,216046014,20
graph_10000_4_aes_128_ctr_naive,,,213271559,21
graph_10000_4_aes_128_ctr_naive,,,201667065,22
graph_10000_4_aes_128_ctr_naive,,,247281330,23
graph_10000_4_aes_128_ctr_naive,,,183983740,24
graph_10000_4_aes_128_ctr_naive,,,178208807,25
graph_10000_4_aes_128_ctr_naive,,,182456560,26
graph_10000_4_aes_128_ctr_naive,,,197445787,27
graph_10000_4_aes_128_ctr_naive,,,287193987,28
graph_10000_4_aes_128_ctr_naive,,,290897632,29
graph_10000_4_aes_128_ctr_naive,,,293286537,30
graph_10000_4_aes_128_ctr_naive,,,233912603,31
graph_10000_4_aes_128_ctr_naive,,,308476189,32
graph_10000_4_aes_128_ctr_naive,,,250437283,33
graph_10000_4_aes_128_ctr_naive,,,237564672,34
graph_10000_4_aes_128_ctr_naive,,,255477141,35
