group,function,value,sample_time_nanos,iteration_count
graph_10000_4_aes_128_ctr_tree,,,11679769,1
graph_10000_4_aes_128_ctr_tree,,,14762591,2
graph_10000_4_aes_128_ctr_tree,,,21310431,3
graph_10000_4_aes_128_ctr_tree,,,29533734,4
graph_10000_4_aes_128_ctr_tree,,,30653553,5
graph_10000_4_aes_128_ctr_tree,,,39810386,6
graph_10000_4_aes_128_ctr_tree,,,45400850,7
graph_10000_4_aes_128_ctr_tree,,,62744510,8
graph_10000_4_aes_128_ctr_tree,,,70813806,9
graph_10000_4_aes_128_ctr_tree,,,69803215,10
graph_10000_4_aes_128_ctr_tree,,,85643267,11
graph_10000_4_aes_128_ctr_tree,,,153214598,12
graph_10000_4_aes_128_ctr_tree,,,82686450,13
graph_10000_4_aes_128_ctr_tree,,,130082296,14
graph_10000_4_aes_128_ctr_tree,,,183342370,15
graph_10000_4_aes_128_ctr_tree,,,162462148,16
graph_10000_4_aes_128_ctr_tree,,,165975903,17
graph_10000_4_aes_128_ctr_tree,,,184477601,18
graph_10000_4_aes_128_ctr_tree,,,179027391,19
graph_10000_4_aes_128_ctr_tree,,,169294022,20
graph_10000_4_aes_128_ctr_tree,,,147279805,21
graph_10000_4_aes_128_ctr_tree,,,210329688,22
graph_10000_4_aes_128_ctr_tree,,,236845524,23
graph_10000_4_aes_128_ctr_tree,,,201584526,24
graph_10000_4_aes_128_ctr_tree,,,193112253,25
graph_10000_4_aes_128_ctr_tree,,,216278172,26
graph_10000_4_aes_128_ctr_tree,,,336369945,27
graph_10000_4_aes_128_ctr_tree,,,206188440,28
graph_10000_4_aes_128_ctr_tree,,,245035344,29
graph_10000_4_aes_128_ctr_tree,,,257740963,30
graph_10000_4_aes_128_ctr_tree,,,255157847,31
graph_10000_4_aes_128_ctr_tree,,,232768891,32
graph_10000_4_aes_128_ctr_tree,,,298224510,33
graph_10000_4_aes_128_ctr_tree,,,274778956,34
graph_10000_4_aes_128_ctr_tree,,,303009814,35
graph_10000_4_aes_128_ctr_tree,,,316822401,36
graph_10000_4_aes_128_ctr_tree,,,383009534,37
graph_10000_4_aes_128_ctr_tree,,,487550203,38
graph_10000_4_aes_128_ctr_tree,,,414612390,39
graph_10000_4_aes_128_ctr_tree,,,397564242,40
graph_10000_4_aes_128_ctr_tree,,,639365586,41
graph_10000_4_aes_128_ctr_tree,,,410091804,42
graph_10000_4_aes_128_ctr_tree,,,612107179,43
graph_10000_4_aes_128_ctr_tree,,,436365605,44
graph_10000_4_aes_128_ctr_tree,,,495538385,45
graph_10000_4_aes_128_ctr_tree,,,456090790,46
graph_10000_4_aes_128_ctr_tree,,,429133395,47
graph_10000_4_aes_128_ctr_tree,,,470417497,48
graph_10000_4_aes_128_ctr_tree,,,373058816,49
graph_10000_4_aes_128_ctr_tree,,,361858699,50
graph_10000_4_aes_128_ctr_tree,,,409588810,51
graph_10000_4_aes_128_ctr_tree,,,379398674,52
graph_10000_4_aes_128_ctr_tree,,,425687182,53
graph_10000_4_aes_128_ctr_tree,,,450160487,54
graph_10000_4_aes_128_ctr_tree,,,418126880,55
graph_10000_4_aes_128_ctr_tree,,,427038217,56
graph_10000_4_aes_128_ctr_tree,,,501241640,57
graph_10000_4_aes_128_ctr_tree,,,602320606,58
graph_10000_4_aes_128_ctr_tree,,,543834547,59
graph_10000_4_aes_128_ctr_tree,,,576451460,60
graph_10000_4_aes_128_ctr_tree,,,648104199,61
graph_10000_4_aes_128_ctr_tree,,,645281578,62
graph_10000_4_aes_128_ctr_tree,,,853965548,63
graph_10000_4_aes_128_ctr_tree,,,642895698,64
graph_10000_4_aes_128_ctr_tree,,,786686780,65
graph_10000_4_aes_128_ctr_tree,,,658483359,66
graph_10000_4_aes_128_ctr_tree,,,711257672,67
graph_10000_4_aes_128_ctr_tree,,,754935412,68
graph_10000_4_aes_128_ctr_tree,,,707506691,69
graph_10000_4_aes_128_ctr_tree,,,630219900,70
graph_10000_4_aes_128_ctr_tree,,,672862725,71
graph_10000_4_aes_128_ctr_tree,,,625340122,72
graph_10000_4_aes_128_ctr_tree,,,573143457,73
graph_10000_4_aes_128_ctr_tree,,,579650349,74
graph_10000_4_aes_128_ctr_tree,,,683412486,75
graph_10000_4_aes_128_ctr_tree,,,837375853,76
graph_10000_4_aes_128_ctr_tree,,,725259210,77
graph_10000_4_aes_128_ctr_tree,,,794229596,78
graph_10000_4_aes_128_ctr_tree,,,805884148,79
graph_10000_4_aes_128_ctr_tree,,,759201926,80
graph_10000_4_aes_128_ctr_tree,,,771821383,81
graph_10000_4_aes_128_ctr_tree,,,635788453,82
graph_10000_4_aes_128_ctr_tree,,,808727209,83
graph_10000_4_aes_128_ctr_tree,,,854830022,84
graph_10000_4_aes_128_ctr_tree,,,958670445,85
graph_10000_4_aes_128_ctr_tree,,,825074735,86
graph_10000_4_aes_128_ctr_tree,,,804314973,87
graph_10000_4_aes_128_ctr_tree,,,822650962,88
graph_10000_4_aes_128_ctr_tree,,,903369087,89
graph_10000_4_aes_128_ctr_tree,,,1021617086,90
graph_10000_4_aes_128_ctr_tree,,,834813077,91
graph_10000_4_aes_128_ctr_tree,,,730396175,92
graph_10000_4_aes_128_ctr_tree,,,728649007,93
graph_10000_4_aes_128_ctr_tree,,,849523468,94
graph_10000_4_aes_128_ctr_tree,,,866684872,95
graph_10000_4_aes_128_ctr_tree,,,757952673,96
graph_10000_4_aes_128_ctr_tree,,,805818627,97
graph_10000_4_aes_128_ctr_tree,,,902129241,98
graph_10000_4_aes_128_ctr_tree,,,815618192,99
graph_10000_4_aes_128_ctr_tree,,,759059715,100
