group,function,value,sample_time_nanos,iteration_count
graph_1000_4_aes_128_ctr_naive,,,820951,2
graph_1000_4_aes_128_ctr_naive,,,2843167,4
graph_1000_4_aes_128_ctr_naive,,,2911692,6
graph_1000_4_aes_128_ctr_naive,,,6042769,8
graph_1000_4_aes_128_ctr_naive,,,5848148,10
graph_1000_4_aes_128_ctr_naive,,,6935029,12
graph_1000_4_aes_128_ctr_naive,,,7856016,14
graph_1000_4_aes_128_ctr_naive,,,12598154,16
graph_1000_4_aes_128_ctr_naive,,,17521771,18
graph_1000_4_aes_128_ctr_naive,,,19727097,20
graph_1000_4_aes_128_ctr_naive,,,20215428,22
graph_1000_4_aes_128_ctr_naive,,,22273596,24
graph_1000_4_aes_128_ctr_naive,,,20586525,26
graph_1000_4_aes_128_ctr_naive,,,24445535,28
graph_1000_4_aes_128_ctr_naive,,,19655668,30
graph_1000_4_aes_128_ctr_naive,,,17877263,32
graph_1000_4_aes_128_ctr_naive,,,21245950,34
graph_1000_4_aes_128_ctr_naive,,,31154352,36
graph_1000_4_aes_128_ctr_naive,,,37121348,38
graph_1000_4_aes_128_ctr_naive,,,32989848,40
graph_1000_4_aes_128_ctr_naive,,,43277486,42
graph_1000_4_aes_128_ctr_naive,,,26191820,44
graph_1000_4_aes_128_ctr_naive,,,32148853,46
graph_1000_4_aes_128_ctr_naive,,,29571611,48
graph_1000_4_aes_128_ctr_naive,,,30743118,50
graph_1000_4_aes_128_ctr_naive,,,32865881,52
graph_1000_4_aes_128_ctr_naive,,,34533768,54
graph_1000_4_aes_128_ctr_naive,,,31146960,56
graph_1000_4_aes_128_ctr_naive,,,37608940,58
graph_1000_4_aes_128_ctr_naive,,,37311472,60
graph_1000_4_aes_128_ctr_naive,,,36271561,62
graph_1000_4_aes_128_ctr_naive,,,39910190,64
graph_1000_4_aes_128_ctr_naive,,,42685087,66
graph_1000_4_aes_128_ctr_naive,,,41489197,68
graph_1000_4_aes_128_ctr_naive,,,46786228,70
graph_1000_4_aes_128_ctr_naive,,,41515654,72
graph_1000_4_aes_128_ctr_naive,,,44793745,74
graph_1000_4_aes_128_ctr_naive,,,51632541,76
graph_1000_4_aes_128_ctr_naive,,,54889922,78
graph_1000_4_aes_128_ctr_naive,,,50790782,80
graph_1000_4_aes_128_ctr_naive,,,52424615,82
graph_1000_4_aes_128_ctr_naive,,,52853350,84
graph_1000_4_aes_128_ctr_naive,,,49858158,86
graph_1000_4_aes_128_ctr_naive,,,52164869,88
graph_1000_4_aes_128_ctr_naive,,,51670676,90
graph_1000_4_aes_128_ctr_naive,,,60084925,92
graph_1000_4_aes_128_ctr_naive,,,60143210,94
graph_1000_4_aes_128_ctr_naive,,,60521751,96
graph_1000_4_aes_128_ctr_naive,,,64680189,98
graph_1000_4_aes_128_ctr_naive,,,66129007,100
graph_1000_4_aes_128_ctr_naive,,,80287509,102
graph_1000_4_aes_128_ctr_naive,,,69372477,104
graph_1000_4_aes_128_ctr_naive,,,64169750,106
graph_1000_4_aes_128_ctr_naive,,,65851130,108
graph_1000_4_aes_128_ctr_naive,,,66100172,110
graph_1000_4_aes_128_ctr_naive,,,72785858,112
graph_1000_4_aes_128_ctr_naive,,,65865798,114
graph_1000_4_aes_128_ctr_naive,,,69049634,116
graph_1000_4_aes_128_ctr_naive,,,75797060,118
graph_1000_4_aes_128_ctr_naive,,,76129098,120
graph_1000_4_aes_128_ctr_naive,,,76459208,122
graph_1000_4_aes_128_ctr_naive,,,71444733,124
graph_1000_4_aes_128_ctr_naive,,,70552713,126
graph_1000_4_aes_128_ctr_naive,,,87962908,128
graph_1000_4_aes_128_ctr_naive,,,81323864,130
graph_1000_4_aes_128_ctr_naive,,,78873280,132
graph_1000_4_aes_128_ctr_naive,,,82527691,134
graph_1000_4_aes_128_ctr_naive,,,82110223,136
graph_1000_4_aes_128_ctr_naive,,,81158947,138
graph_1000_4_aes_128_ctr_naive,,,86347542,140
graph_1000_4_aes_128_ctr_naive,,,92892867,142
graph_1000_4_aes_128_ctr_naive,,,87483731,144
graph_1000_4_aes_128_ctr_naive,,,92730461,146
graph_1000_4_aes_128_ctr_naive,,,96107828,148
graph_1000_4_aes_128_ctr_naive,,,87459304,150
graph_1000_4_aes_128_ctr_naive,,,96913446,152
graph_1000_4_aes_128_ctr_naive,,,95967089,154
graph_1000_4_aes_128_ctr_naive,,,93346774,156
graph_1000_4_aes_128_ctr_naive,,,96016846,158
graph_1000_4_aes_128_ctr_naive,,,114973306,160
graph_1000_4_aes_128_ctr_naive,,,103735745,162
graph_1000_4_aes_128_ctr_naive,,,98544068,164
graph_1000_4_aes_128_ctr_naive,,,102650683,166
graph_1000_4_aes_128_ctr_naive,,,103810289,168
graph_1000_4_aes_128_ctr_naive,,,108835532,170
graph_1000_4_aes_128_ctr_naive,,,114762716,172
graph_1000_4_aes_128_ctr_naive,,,104938972,174
graph_1000_4_aes_128_ctr_naive,,,103373424,176
graph_1000_4_aes_128_ctr_naive,,,109406121,178
graph_1000_4_aes_128_ctr_naive,,,120139644,180
graph_1000_4_aes_128_ctr_naive,,,113691036,182
graph_1000_4_aes_128_ctr_naive,,,114503332,184
graph_1000_4_aes_128_ctr_naive,,,120384198,186
graph_1000_4_aes_128_ctr_naive,,,116258458,188
graph_1000_4_aes_128_ctr_naive,,,117831614,190
graph_1000_4_aes_128_ctr_naive,,,124526845,192
graph_1000_4_aes_128_ctr_naive,,,115886228,194
graph_1000_4_aes_128_ctr_naive,,,118903417,196
graph_1000_4_aes_128_ctr_naive,,,132656790,198
