group,function,value,sample_time_nanos,iteration_count
graph_10_4_aes_128_ctr_tree,,,808975,106
graph_10_4_aes_128_ctr_tree,,,1994685,212
graph_10_4_aes_128_ctr_tree,,,4472200,318
graph_10_4_aes_128_ctr_tree,,,3895838,424
graph_10_4_aes_128_ctr_tree,,,5627598,530
graph_10_4_aes_128_ctr_tree,,,6279296,636
graph_10_4_aes_128_ctr_tree,,,7241906,742
graph_10_4_aes_128_ctr_tree,,,8989269,848
graph_10_4_aes_128_ctr_tree,,,12090484,954
graph_10_4_aes_128_ctr_tree,,,9877023,1060
graph_10_4_aes_128_ctr_tree,,,10124813,1166
graph_10_4_aes_128_ctr_tree,,,11585608,1272
graph_10_4_aes_128_ctr_tree,,,12647730,1378
graph_10_4_aes_128_ctr_tree,,,13768088,1484
graph_10_4_aes_128_ctr_tree,,,14230934,1590
graph_10_4_aes_128_ctr_tree,,,15403961,1696
graph_10_4_aes_128_ctr_tree,,,15881989,1802
graph_10_4_aes_128_ctr_tree,,,17699022,1908
graph_10_4_aes_128_ctr_tree,,,17928165,2014
graph_10_4_aes_128_ctr_tree,,,19125131,2120
graph_10_4_aes_128_ctr_tree,,,20075371,2226
graph_10_4_aes_128_ctr_tree,,,21508241,2332
graph_10_4_aes_128_ctr_tree,,,22209404,2438
graph_10_4_aes_128_ctr_tree,,,22520637,2544
graph_10_4_aes_128_ctr_tree,,,25124046,2650
graph_10_4_aes_128_ctr_tree,,,25497025,2756
graph_10_4_aes_128_ctr_tree,,,27770743,2862
graph_10_4_aes_128_ctr_tree,,,28045061,2968
graph_10_4_aes_128_ctr_tree,,,28396574,3074
graph_10_4_aes_128_ctr_tree,,,33806985,3180
graph_10_4_aes_128_ctr_tree,,,36919073,3286
graph_10_4_aes_128_ctr_tree,,,33959993,3392
graph_10_4_aes_128_ctr_tree,,,32285037,3498
graph_10_4_aes_128_ctr_tree,,,34378542,3604
graph_10_4_aes_128_ctr_tree,,,36172821,3710
graph_10_4_aes_128_ctr_tree,,,36282253,3816
graph_10_4_aes_128_ctr_tree,,,35224904,3922
graph_10_4_aes_128_ctr_tree,,,37846163,4028
graph_10_4_aes_128_ctr_tree,,,38871413,4134
graph_10_4_aes_128_ctr_tree,,,41382755,4240
graph_10_4_aes_128_ctr_tree,,,38864868,4346
graph_10_4_aes_128_ctr_tree,,,39501155,4452
graph_10_4_aes_128_ctr_tree,,,58832025,4558
graph_10_4_aes_128_ctr_tree,,,54084516,4664
graph_10_4_aes_128_ctr_tree,,,50144097,4770
graph_10_4_aes_128_ctr_tree,,,45871884,4876
graph_10_4_aes_128_ctr_tree,,,57118530,4982
graph_10_4_aes_128_ctr_tree,,,56580084,5088
graph_10_4_aes_128_ctr_tree,,,50439954,5194
graph_10_4_aes_128_ctr_tree,,,47843828,5300
graph_10_4_aes_128_ctr_tree,,,51652173,5406
graph_10_4_aes_128_ctr_tree,,,51488228,5512
graph_10_4_aes_128_ctr_tree,,,50136437,5618
graph_10_4_aes_128_ctr_tree,,,56209167,5724
graph_10_4_aes_128_ctr_tree,,,54785274,5830
graph_10_4_aes_128_ctr_tree,,,57177975,5936
graph_10_4_aes_128_ctr_tree,,,53577360,6042
graph_10_4_aes_128_ctr_tree,,,57624079,6148
graph_10_4_aes_128_ctr_tree,,,56266152,6254
graph_10_4_aes_128_ctr_tree,,,61427796,6360
graph_10_4_aes_128_ctr_tree,,,57851960,6466
graph_10_4_aes_128_ctr_tree,,,65909345,6572
graph_10_4_aes_128_ctr_tree,,,60742897,6678
graph_10_4_aes_128_ctr_tree,,,62264486,6784
graph_10_4_aes_128_ctr_tree,,,61989160,6890
graph_10_4_aes_128_ctr_tree,,,62701006,6996
graph_10_4_aes_128_ctr_tree,,,69834271,7102
graph_10_4_aes_128_ctr_tree,,,66587929,7208
graph_10_4_aes_128_ctr_tree,,,66853416,7314
graph_10_4_aes_128_ctr_tree,,,66479593,7420
graph_10_4_aes_128_ctr_tree,,,68839450,7526
graph_10_4_aes_128_ctr_tree,,,69618277,7632
graph_10_4_aes_128_ctr_tree,,,69662201,7738
graph_10_4_aes_128_ctr_tree,,,70550915,7844
graph_10_4_aes_128_ctr_tree,,,81706667,7950
graph_10_4_aes_128_ctr_tree,,,96695158,8056
graph_10_4_aes_128_ctr_tree,,,112949465,8162
graph_10_4_aes_128_ctr_tree,,,111274540,8268
graph_10_4_aes_128_ctr_tree,,,111808609,8374
graph_10_4_aes_128_ctr_tree,,,95779067,8480
graph_10_4_aes_128_ctr_tree,,,97163607,8586
graph_10_4_aes_128_ctr_tree,,,92431050,8692
graph_10_4_aes_128_ctr_tree,,,102507239,8798
graph_10_4_aes_128_ctr_tree,,,122802233,8904
graph_10_4_aes_128_ctr_tree,,,112483737,9010
graph_10_4_aes_128_ctr_tree,,,102271897,9116
graph_10_4_aes_128_ctr_tree,,,128350044,9222
graph_10_4_aes_128_ctr_tree,,,126908498,9328
graph_10_4_aes_128_ctr_tree,,,102352487,9434
graph_10_4_aes_128_ctr_tree,,,115002814,9540
graph_10_4_aes_128_ctr_tree,,,109309486,9646
graph_10_4_aes_128_ctr_tree,,,103417983,9752
graph_10_4_aes_128_ctr_tree,,,120368251,9858
graph_10_4_aes_128_ctr_tree,,,123802794,9964
graph_10_4_aes_128_ctr_tree,,,140955452,10070
graph_10_4_aes_128_ctr_tree,,,117251037,10176
graph_10_4_aes_128_ctr_tree,,,102107190,10282
graph_10_4_aes_128_ctr_tree,,,101421317,10388
graph_10_4_aes_128_ctr_tree,,,115266630,10494
graph_10_4_aes_128_ctr_tree,,,136802754,10600
