group,function,value,sample_time_nanos,iteration_count
graph_4_aes_128_ctr_naive,,100,824196,18
graph_4_aes_128_ctr_naive,,100,1877233,36
graph_4_aes_128_ctr_naive,,100,2786688,54
graph_4_aes_128_ctr_naive,,100,3974732,72
graph_4_aes_128_ctr_naive,,100,4744975,90
graph_4_aes_128_ctr_naive,,100,5461607,108
graph_4_aes_128_ctr_naive,,100,6949034,126
graph_4_aes_128_ctr_naive,,100,7882497,144
graph_4_aes_128_ctr_naive,,100,11301590,162
graph_4_aes_128_ctr_naive,,100,11533937,180
graph_4_aes_128_ctr_naive,,100,11790224,198
graph_4_aes_128_ctr_naive,,100,12590562,216
graph_4_aes_128_ctr_naive,,100,13502644,234
graph_4_aes_128_ctr_naive,,100,13216700,252
graph_4_aes_128_ctr_naive,,100,15406234,270
graph_4_aes_128_ctr_naive,,100,16494150,288
graph_4_aes_128_ctr_naive,,100,16742188,306
graph_4_aes_128_ctr_naive,,100,18368050,324
graph_4_aes_128_ctr_naive,,100,18397066,342
graph_4_aes_128_ctr_naive,,100,21142185,360
graph_4_aes_128_ctr_naive,,100,20984343,378
graph_4_aes_128_ctr_naive,,100,21082909,396
graph_4_aes_128_ctr_naive,,100,24620561,414
graph_4_aes_128_ctr_naive,,100,25093427,432
graph_4_aes_128_ctr_naive,,100,24808546,450
graph_4_aes_128_ctr_naive,,100,26403737,468
graph_4_aes_128_ctr_naive,,100,26479533,486
graph_4_aes_128_ctr_naive,,100,29119530,504
graph_4_aes_128_ctr_naive,,100,28253685,522
graph_4_aes_128_ctr_naive,,100,29938589,540
graph_4_aes_128_ctr_naive,,100,31293489,558
graph_4_aes_128_ctr_naive,,100,31663511,576
graph_4_aes_128_ctr_naive,,100,33495018,594
graph_4_aes_128_ctr_naive,,100,33565371,612
graph_4_aes_128_ctr_naive,,100,35143878,630
graph_4_aes_128_ctr_naive,,100,37842569,648
graph_4_aes_128_ctr_naive,,100,37915872,666
graph_4_aes_128_ctr_naive,,100,36063446,684
graph_4_aes_128_ctr_naive,,100,39523618,702
graph_4_aes_128_ctr_naive,,100,39639898,720
graph_4_aes_128_ctr_naive,,100,41634104,738
graph_4_aes_128_ctr_naive,,100,42732878,756
graph_4_aes_128_ctr_naive,,100,43868028,774
graph_4_aes_128_ctr_naive,,100,43088384,792
graph_4_aes_128_ctr_naive,,100,47786081,810
graph_4_aes_128_ctr_naive,,100,45845065,828
graph_4_aes_128_ctr_naive,,100,48774255,846
graph_4_aes_128_ctr_naive,,100,46961543,864
graph_4_aes_128_ctr_naive,,100,48678615,882
graph_4_aes_128_ctr_naive,,100,50963675,900
graph_4_aes_128_ctr_naive,,100,50124277,918
graph_4_aes_128_ctr_naive,,100,52735033,936
graph_4_aes_128_ctr_naive,,100,53446719,954
graph_4_aes_128_ctr_naive,,100,51987792,972
graph_4_aes_128_ctr_naive,,100,55440595,990
graph_4_aes_128_ctr_naive,,100,56686154,1008
graph_4_aes_128_ctr_naive,,100,56299952,1026
graph_4_aes_128_ctr_naive,,100,57549576,1044
graph_4_aes_128_ctr_naive,,100,60286240,1062
graph_4_aes_128_ctr_naive,,100,61866653,1080
graph_4_aes_128_ctr_naive,,100,63372074,1098
graph_4_aes_128_ctr_naive,,100,62472748,1116
graph_4_aes_128_ctr_naive,,100,65442394,1134
graph_4_aes_128_ctr_naive,,100,67652299,1152
graph_4_aes_128_ctr_naive,,100,65488794,1170
graph_4_aes_128_ctr_naive,,100,67138602,1188
graph_4_aes_128_ctr_naive,,100,68706131,1206
graph_4_aes_128_ctr_naive,,100,75842435,1224
graph_4_aes_128_ctr_naive,,100,74952019,1242
graph_4_aes_128_ctr_naive,,100,72530131,1260
graph_4_aes_128_ctr_naive,,100,70624863,1278
graph_4_aes_128_ctr_naive,,100,71090863,1296
graph_4_aes_128_ctr_naive,,100,73187149,1314
graph_4_aes_128_ctr_naive,,100,76677658,1332
graph_4_aes_128_ctr_naive,,100,77123954,1350
graph_4_aes_128_ctr_naive,,100,76848769,1368
graph_4_aes_128_ctr_naive,,100,80539889,1386
graph_4_aes_128_ctr_naive,,100,78781566,1404
graph_4_aes_128_ctr_naive,,100,80891447,1422
graph_4_aes_128_ctr_naive,,100,81220716,1440
graph_4_aes_128_ctr_naive,,100,80455684,1458
graph_4_aes_128_ctr_naive,,100,80113119,1476
graph_4_aes_128_ctr_naive,,100,82760060,1494
graph_4_aes_128_ctr_naive,,100,120442379,1512
graph_4_aes_128_ctr_naive,,100,108157481,1530
graph_4_aes_128_ctr_naive,,100,90121479,1548
graph_4_aes_128_ctr_naive,,100,91611557,1566
graph_4_aes_128_ctr_naive,,100,93008022,1584
graph_4_aes_128_ctr_naive,,100,91998006,1602
graph_4_aes_128_ctr_naive,,100,96265226,1620
graph_4_aes_128_ctr_naive,,100,94712741,1638
graph_4_aes_128_ctr_naive,,100,100106801,1656
graph_4_aes_128_ctr_naive,,100,104670135,1674
graph_4_aes_128_ctr_naive,,100,102849652,1692
graph_4_aes_128_ctr_naive,,100,121481789,1710
graph_4_aes_128_ctr_naive,,100,141713338,1728
graph_4_aes_128_ctr_naive,,100,113458430,1746
graph_4_aes_128_ctr_naive,,100,104087224,1764
graph_4_aes_128_ctr_naive,,100,105312877,1782
graph_4_aes_128_ctr_naive,,100,104608220,1800
