group,function,value,sample_time_nanos,iteration_count
graph_4_aes_128_ctr_naive,,10000,6787136,1
graph_4_aes_128_ctr_naive,,10000,17897185,2
graph_4_aes_128_ctr_naive,,10000,20581829,3
graph_4_aes_128_ctr_naive,,10000,28439209,4
graph_4_aes_128_ctr_naive,,10000,33551587,5
graph_4_aes_128_ctr_naive,,10000,43231786,6
graph_4_aes_128_ctr_naive,,10000,39109096,7
graph_4_aes_128_ctr_naive,,10000,58771243,8
graph_4_aes_128_ctr_naive,,10000,54294078,9
graph_4_aes_128_ctr_naive,,10000,64643372,10
graph_4_aes_128_ctr_naive,,10000,71844927,11
graph_4_aes_128_ctr_naive,,10000,117050783,12
graph_4_aes_128_ctr_naive,,10000,158227881,13
graph_4_aes_128_ctr_naive,,10000,95862995,14
graph_4_aes_128_ctr_naive,,10000,92444503,15
graph_4_aes_128_ctr_naive,,10000,119811911,16
graph_4_aes_128_ctr_naive,,10000,134556821,17
graph_4_aes_128_ctr_naive,,10000,174931590,18
graph_4_aes_128_ctr_naive,,10000,188317777,19
graph_4_aes_128_ctr_naive,,10000,167189767,20
graph_4_aes_128_ctr_naive,,10000,149787467,21
graph_4_aes_128_ctr_naive,,10000,157072527,22
graph_4_aes_128_ctr_naive,,10000,192007185,23
graph_4_aes_128_ctr_naive,,10000,203333647,24
graph_4_aes_128_ctr_naive,,10000,216027172,25
graph_4_aes_128_ctr_naive,,10000,175898037,26
graph_4_aes_128_ctr_naive,,10000,210626351,27
graph_4_aes_128_ctr_naive,,10000,208510575,28
graph_4_aes_128_ctr_naive,,10000,211254023,29
graph_4_aes_128_ctr_naive,,10000,218768536,30
graph_4_aes_128_ctr_naive,,10000,211019642,31
graph_4_aes_128_ctr_naive,,10000,238220119,32
graph_4_aes_128_ctr_naive,,10000,322717082,33
graph_4_aes_128_ctr_naive,,10000,270433602,34
graph_4_aes_128_ctr_naive,,10000,271028367,35
graph_4_aes_128_ctr_naive,,10000,281859203,36
graph_4_aes_128_ctr_naive,,10000,262133113,37
graph_4_aes_128_ctr_naive,,10000,272558859,38
graph_4_aes_128_ctr_naive,,10000,306629713,39
graph_4_aes_128_ctr_naive,,10000,313785873,40
graph_4_aes_128_ctr_naive,,10000,278406062,41
graph_4_aes_128_ctr_naive,,10000,284507846,42
graph_4_aes_128_ctr_naive,,10000,327714363,43
graph_4_aes_128_ctr_naive,,10000,336447611,44
graph_4_aes_128_ctr_naive,,10000,310423325,45
graph_4_aes_128_ctr_naive,,10000,293600684,46
graph_4_aes_128_ctr_naive,,10000,372790793,47
graph_4_aes_128_ctr_naive,,10000,339113557,48
graph_4_aes_128_ctr_naive,,10000,350028787,49
graph_4_aes_128_ctr_naive,,10000,380929398,50
graph_4_aes_128_ctr_naive,,10000,374461075,51
graph_4_aes_128_ctr_naive,,10000,362715238,52
graph_4_aes_128_ctr_naive,,10000,372625281,53
graph_4_aes_128_ctr_naive,,10000,416974562,54
graph_4_aes_128_ctr_naive,,10000,387699707,55
graph_4_aes_128_ctr_naive,,10000,388003395,56
graph_4_aes_128_ctr_naive,,10000,412853864,57
graph_4_aes_128_ctr_naive,,10000,436821730,58
graph_4_aes_128_ctr_naive,,10000,449534225,59
graph_4_aes_128_ctr_naive,,10000,468555553,60
graph_4_aes_128_ctr_naive,,10000,462418823,61
graph_4_aes_128_ctr_naive,,10000,471072148,62
graph_4_aes_128_ctr_naive,,10000,450336874,63
graph_4_aes_128_ctr_naive,,10000,484404477,64
graph_4_aes_128_ctr_naive,,10000,456618481,65
graph_4_aes_128_ctr_naive,,10000,544519615,66
graph_4_aes_128_ctr_naive,,10000,506930899,67
graph_4_aes_128_ctr_naive,,10000,536546812,68
graph_4_aes_128_ctr_naive,,10000,485849648,69
graph_4_aes_128_ctr_naive,,10000,487917785,70
graph_4_aes_128_ctr_naive,,10000,519815166,71
graph_4_aes_128_ctr_naive,,10000,541271771,72
graph_4_aes_128_ctr_naive,,10000,577389951,73
graph_4_aes_128_ctr_naive,,10000,545470985,74
graph_4_aes_128_ctr_naive,,10000,559462180,75
graph_4_aes_128_ctr_naive,,10000,573612262,76
graph_4_aes_128_ctr_naive,,10000,575411878,77
graph_4_aes_128_ctr_naive,,10000,603760646,78
graph_4_aes_128_ctr_naive,,10000,598278341,79
graph_4_aes_128_ctr_naive,,10000,578095491,80
graph_4_aes_128_ctr_naive,,10000,602720884,81
graph_4_aes_128_ctr_naive,,10000,599866713,82
graph_4_aes_128_ctr_naive,,10000,553514450,83
graph_4_aes_128_ctr_naive,,10000,623910614,84
graph_4_aes_128_ctr_naive,,10000,624064843,85
graph_4_aes_128_ctr_naive,,10000,636047540,86
graph_4_aes_128_ctr_naive,,10000,673807986,87
graph_4_aes_128_ctr_naive,,10000,612526091,88
graph_4_aes_128_ctr_naive,,10000,679794770,89
graph_4_aes_128_ctr_naive,,10000,688069175,90
graph_4_aes_128_ctr_naive,,10000,693677118,91
graph_4_aes_128_ctr_naive,,10000,806528203,92
graph_4_aes_128_ctr_naive,,10000,730366936,93
graph_4_aes_128_ctr_naive,,10000,677301984,94
graph_4_aes_128_ctr_naive,,10000,776188632,95
graph_4_aes_128_ctr_naive,,10000,755698524,96
graph_4_aes_128_ctr_naive,,10000,800277726,97
graph_4_aes_128_ctr_naive,,10000,747309458,98
graph_4_aes_128_ctr_naive,,10000,761647981,99
graph_4_aes_128_ctr_naive,,10000,884158950,100
