group,function,value,sample_time_nanos,iteration_count
graph_4_aes_128_ctr_naive,build graph,10,1337246,110
graph_4_aes_128_ctr_naive,build graph,10,2402498,220
graph_4_aes_128_ctr_naive,build graph,10,2705617,330
graph_4_aes_128_ctr_naive,build graph,10,4155521,440
graph_4_aes_128_ctr_naive,build graph,10,5262772,550
graph_4_aes_128_ctr_naive,build graph,10,5940010,660
graph_4_aes_128_ctr_naive,build graph,10,7563460,770
graph_4_aes_128_ctr_naive,build graph,10,8363947,880
graph_4_aes_128_ctr_naive,build graph,10,10190051,990
graph_4_aes_128_ctr_naive,build graph,10,13191316,1100
graph_4_aes_128_ctr_naive,build graph,10,11708430,1210
graph_4_aes_128_ctr_naive,build graph,10,14565476,1320
graph_4_aes_128_ctr_naive,build graph,10,15201261,1430
graph_4_aes_128_ctr_naive,build graph,10,15120305,1540
graph_4_aes_128_ctr_naive,build graph,10,14335617,1650
graph_4_aes_128_ctr_naive,build graph,10,15926331,1760
graph_4_aes_128_ctr_naive,build graph,10,17500228,1870
graph_4_aes_128_ctr_naive,build graph,10,17924321,1980
graph_4_aes_128_ctr_naive,build graph,10,20534051,2090
graph_4_aes_128_ctr_naive,build graph,10,19690693,2200
graph_4_aes_128_ctr_naive,build graph,10,20555828,2310
graph_4_aes_128_ctr_naive,build graph,10,21627986,2420
graph_4_aes_128_ctr_naive,build graph,10,21779539,2530
graph_4_aes_128_ctr_naive,build graph,10,22999417,2640
graph_4_aes_128_ctr_naive,build graph,10,23721145,2750
graph_4_aes_128_ctr_naive,build graph,10,25684920,2860
graph_4_aes_128_ctr_naive,build graph,10,26402817,2970
graph_4_aes_128_ctr_naive,build graph,10,27140684,3080
graph_4_aes_128_ctr_naive,build graph,10,28004194,3190
graph_4_aes_128_ctr_naive,build graph,10,29854095,3300
graph_4_aes_128_ctr_naive,build graph,10,30366963,3410
graph_4_aes_128_ctr_naive,build graph,10,31447896,3520
graph_4_aes_128_ctr_naive,build graph,10,32689141,3630
graph_4_aes_128_ctr_naive,build graph,10,31920724,3740
graph_4_aes_128_ctr_naive,build graph,10,33230308,3850
graph_4_aes_128_ctr_naive,build graph,10,34972775,3960
graph_4_aes_128_ctr_naive,build graph,10,34983715,4070
graph_4_aes_128_ctr_naive,build graph,10,37064768,4180
graph_4_aes_128_ctr_naive,build graph,10,37071011,4290
graph_4_aes_128_ctr_naive,build graph,10,38412339,4400
graph_4_aes_128_ctr_naive,build graph,10,39124564,4510
graph_4_aes_128_ctr_naive,build graph,10,43479800,4620
graph_4_aes_128_ctr_naive,build graph,10,41152345,4730
graph_4_aes_128_ctr_naive,build graph,10,43235491,4840
graph_4_aes_128_ctr_naive,build graph,10,43519668,4950
graph_4_aes_128_ctr_naive,build graph,10,45224479,5060
graph_4_aes_128_ctr_naive,build graph,10,47202970,5170
graph_4_aes_128_ctr_naive,build graph,10,46330361,5280
graph_4_aes_128_ctr_naive,build graph,10,49397213,5390
graph_4_aes_128_ctr_naive,build graph,10,48036633,5500
graph_4_aes_128_ctr_naive,build graph,10,48785155,5610
graph_4_aes_128_ctr_naive,build graph,10,50855092,5720
graph_4_aes_128_ctr_naive,build graph,10,54745896,5830
