group,function,value,sample_time_nanos,iteration_count
graph_4_aes_128_ctr_naive,build graph,100,1019915,17
graph_4_aes_128_ctr_naive,build graph,100,2034896,34
graph_4_aes_128_ctr_naive,build graph,100,3513419,51
graph_4_aes_128_ctr_naive,build graph,100,3373070,68
graph_4_aes_128_ctr_naive,build graph,100,5560153,85
graph_4_aes_128_ctr_naive,build graph,100,6460092,102
graph_4_aes_128_ctr_naive,build graph,100,6862717,119
graph_4_aes_128_ctr_naive,build graph,100,9621855,136
graph_4_aes_128_ctr_naive,build graph,100,8618238,153
graph_4_aes_128_ctr_naive,build graph,100,11530592,170
graph_4_aes_128_ctr_naive,build graph,100,11744404,187
graph_4_aes_128_ctr_naive,build graph,100,14499825,204
graph_4_aes_128_ctr_naive,build graph,100,15521160,221
graph_4_aes_128_ctr_naive,build graph,100,15881838,238
graph_4_aes_128_ctr_naive,build graph,100,16727109,255
graph_4_aes_128_ctr_naive,build graph,100,19315383,272
graph_4_aes_128_ctr_naive,build graph,100,19554388,289
graph_4_aes_128_ctr_naive,build graph,100,20784064,306
graph_4_aes_128_ctr_naive,build graph,100,25056078,323
graph_4_aes_128_ctr_naive,build graph,100,24281455,340
graph_4_aes_128_ctr_naive,build graph,100,27941851,357
graph_4_aes_128_ctr_naive,build graph,100,29188437,374
graph_4_aes_128_ctr_naive,build graph,100,25000379,391
graph_4_aes_128_ctr_naive,build graph,100,25465607,408
graph_4_aes_128_ctr_naive,build graph,100,23845697,425
graph_4_aes_128_ctr_naive,build graph,100,38111072,442
graph_4_aes_128_ctr_naive,build graph,100,28938327,459
graph_4_aes_128_ctr_naive,build graph,100,30048109,476
graph_4_aes_128_ctr_naive,build graph,100,29102465,493
graph_4_aes_128_ctr_naive,build graph,100,29408616,510
graph_4_aes_128_ctr_naive,build graph,100,29908071,527
graph_4_aes_128_ctr_naive,build graph,100,32369526,544
graph_4_aes_128_ctr_naive,build graph,100,32502085,561
graph_4_aes_128_ctr_naive,build graph,100,34925490,578
graph_4_aes_128_ctr_naive,build graph,100,34825491,595
graph_4_aes_128_ctr_naive,build graph,100,34870376,612
graph_4_aes_128_ctr_naive,build graph,100,37697505,629
graph_4_aes_128_ctr_naive,build graph,100,37956035,646
graph_4_aes_128_ctr_naive,build graph,100,39218905,663
graph_4_aes_128_ctr_naive,build graph,100,40019908,680
graph_4_aes_128_ctr_naive,build graph,100,42253556,697
graph_4_aes_128_ctr_naive,build graph,100,40595692,714
graph_4_aes_128_ctr_naive,build graph,100,41112767,731
graph_4_aes_128_ctr_naive,build graph,100,46670056,748
graph_4_aes_128_ctr_naive,build graph,100,47352791,765
graph_4_aes_128_ctr_naive,build graph,100,45010943,782
graph_4_aes_128_ctr_naive,build graph,100,47662997,799
graph_4_aes_128_ctr_naive,build graph,100,48702367,816
graph_4_aes_128_ctr_naive,build graph,100,48180229,833
graph_4_aes_128_ctr_naive,build graph,100,47849287,850
graph_4_aes_128_ctr_naive,build graph,100,48984308,867
graph_4_aes_128_ctr_naive,build graph,100,52355232,884
graph_4_aes_128_ctr_naive,build graph,100,51115358,901
