group,function,value,sample_time_nanos,iteration_count
graph_4_aes_128_ctr_tree,build graph time,10,1103720,138
graph_4_aes_128_ctr_tree,build graph time,10,2183759,276
graph_4_aes_128_ctr_tree,build graph time,10,2926474,414
graph_4_aes_128_ctr_tree,build graph time,10,4042692,552
graph_4_aes_128_ctr_tree,build graph time,10,4676082,690
graph_4_aes_128_ctr_tree,build graph time,10,5666182,828
graph_4_aes_128_ctr_tree,build graph time,10,7128964,966
graph_4_aes_128_ctr_tree,build graph time,10,8179442,1104
graph_4_aes_128_ctr_tree,build graph time,10,9212670,1242
graph_4_aes_128_ctr_tree,build graph time,10,9919290,1380
graph_4_aes_128_ctr_tree,build graph time,10,10487783,1518
graph_4_aes_128_ctr_tree,build graph time,10,11920011,1656
graph_4_aes_128_ctr_tree,build graph time,10,12801356,1794
graph_4_aes_128_ctr_tree,build graph time,10,14069926,1932
graph_4_aes_128_ctr_tree,build graph time,10,14848771,2070
graph_4_aes_128_ctr_tree,build graph time,10,15508349,2208
graph_4_aes_128_ctr_tree,build graph time,10,16858919,2346
graph_4_aes_128_ctr_tree,build graph time,10,18333845,2484
graph_4_aes_128_ctr_tree,build graph time,10,18570210,2622
graph_4_aes_128_ctr_tree,build graph time,10,19321143,2760
graph_4_aes_128_ctr_tree,build graph time,10,21295208,2898
graph_4_aes_128_ctr_tree,build graph time,10,22269915,3036
graph_4_aes_128_ctr_tree,build graph time,10,23034937,3174
graph_4_aes_128_ctr_tree,build graph time,10,23527549,3312
graph_4_aes_128_ctr_tree,build graph time,10,24338960,3450
graph_4_aes_128_ctr_tree,build graph time,10,25561199,3588
graph_4_aes_128_ctr_tree,build graph time,10,27062372,3726
graph_4_aes_128_ctr_tree,build graph time,10,27832093,3864
graph_4_aes_128_ctr_tree,build graph time,10,28325927,4002
graph_4_aes_128_ctr_tree,build graph time,10,30146779,4140
graph_4_aes_128_ctr_tree,build graph time,10,30624251,4278
graph_4_aes_128_ctr_tree,build graph time,10,31241057,4416
graph_4_aes_128_ctr_tree,build graph time,10,32127375,4554
graph_4_aes_128_ctr_tree,build graph time,10,34235939,4692
graph_4_aes_128_ctr_tree,build graph time,10,34804836,4830
graph_4_aes_128_ctr_tree,build graph time,10,35329219,4968
graph_4_aes_128_ctr_tree,build graph time,10,36312337,5106
graph_4_aes_128_ctr_tree,build graph time,10,36954495,5244
graph_4_aes_128_ctr_tree,build graph time,10,38990209,5382
graph_4_aes_128_ctr_tree,build graph time,10,38965625,5520
graph_4_aes_128_ctr_tree,build graph time,10,40109223,5658
graph_4_aes_128_ctr_tree,build graph time,10,42052166,5796
graph_4_aes_128_ctr_tree,build graph time,10,42415711,5934
graph_4_aes_128_ctr_tree,build graph time,10,43916871,6072
graph_4_aes_128_ctr_tree,build graph time,10,45143579,6210
graph_4_aes_128_ctr_tree,build graph time,10,46098485,6348
graph_4_aes_128_ctr_tree,build graph time,10,46866014,6486
graph_4_aes_128_ctr_tree,build graph time,10,48410136,6624
graph_4_aes_128_ctr_tree,build graph time,10,48125718,6762
graph_4_aes_128_ctr_tree,build graph time,10,49334017,6900
graph_4_aes_128_ctr_tree,build graph time,10,50275303,7038
graph_4_aes_128_ctr_tree,build graph time,10,51366949,7176
graph_4_aes_128_ctr_tree,build graph time,10,52812049,7314
graph_4_aes_128_ctr_tree,build graph time,10,53130456,7452
graph_4_aes_128_ctr_tree,build graph time,10,53545901,7590
graph_4_aes_128_ctr_tree,build graph time,10,54789321,7728
graph_4_aes_128_ctr_tree,build graph time,10,56369219,7866
graph_4_aes_128_ctr_tree,build graph time,10,56587674,8004
graph_4_aes_128_ctr_tree,build graph time,10,58507411,8142
graph_4_aes_128_ctr_tree,build graph time,10,59684723,8280
graph_4_aes_128_ctr_tree,build graph time,10,60634776,8418
graph_4_aes_128_ctr_tree,build graph time,10,62091948,8556
