group,function,value,sample_time_nanos,iteration_count
graph_4_aes_128_ctr_tree,build graph time,1000,1660735,3
graph_4_aes_128_ctr_tree,build graph time,1000,2310276,6
graph_4_aes_128_ctr_tree,build graph time,1000,3671272,9
graph_4_aes_128_ctr_tree,build graph time,1000,5505542,12
graph_4_aes_128_ctr_tree,build graph time,1000,6616159,15
graph_4_aes_128_ctr_tree,build graph time,1000,8100024,18
graph_4_aes_128_ctr_tree,build graph time,1000,9274272,21
graph_4_aes_128_ctr_tree,build graph time,1000,11907708,24
graph_4_aes_128_ctr_tree,build graph time,1000,11774474,27
graph_4_aes_128_ctr_tree,build graph time,1000,13423351,30
graph_4_aes_128_ctr_tree,build graph time,1000,14869414,33
graph_4_aes_128_ctr_tree,build graph time,1000,16491440,36
graph_4_aes_128_ctr_tree,build graph time,1000,17476734,39
graph_4_aes_128_ctr_tree,build graph time,1000,22134555,42
graph_4_aes_128_ctr_tree,build graph time,1000,20995805,45
graph_4_aes_128_ctr_tree,build graph time,1000,22917433,48
graph_4_aes_128_ctr_tree,build graph time,1000,23602706,51
graph_4_aes_128_ctr_tree,build graph time,1000,23663899,54
graph_4_aes_128_ctr_tree,build graph time,1000,32106541,57
graph_4_aes_128_ctr_tree,build graph time,1000,27970585,60
graph_4_aes_128_ctr_tree,build graph time,1000,27749077,63
graph_4_aes_128_ctr_tree,build graph time,1000,28640520,66
graph_4_aes_128_ctr_tree,build graph time,1000,32017118,69
graph_4_aes_128_ctr_tree,build graph time,1000,32828090,72
graph_4_aes_128_ctr_tree,build graph time,1000,33336829,75
graph_4_aes_128_ctr_tree,build graph time,1000,37407877,78
graph_4_aes_128_ctr_tree,build graph time,1000,37032834,81
graph_4_aes_128_ctr_tree,build graph time,1000,40428997,84
graph_4_aes_128_ctr_tree,build graph time,1000,39064139,87
graph_4_aes_128_ctr_tree,build graph time,1000,41941318,90
graph_4_aes_128_ctr_tree,build graph time,1000,43613314,93
graph_4_aes_128_ctr_tree,build graph time,1000,46127252,96
graph_4_aes_128_ctr_tree,build graph time,1000,48281660,99
graph_4_aes_128_ctr_tree,build graph time,1000,46862585,102
graph_4_aes_128_ctr_tree,build graph time,1000,46364928,105
graph_4_aes_128_ctr_tree,build graph time,1000,46930754,108
graph_4_aes_128_ctr_tree,build graph time,1000,49563751,111
graph_4_aes_128_ctr_tree,build graph time,1000,53903770,114
graph_4_aes_128_ctr_tree,build graph time,1000,55585476,117
graph_4_aes_128_ctr_tree,build graph time,1000,56472675,120
graph_4_aes_128_ctr_tree,build graph time,1000,56053865,123
graph_4_aes_128_ctr_tree,build graph time,1000,59833111,126
graph_4_aes_128_ctr_tree,build graph time,1000,58861517,129
graph_4_aes_128_ctr_tree,build graph time,1000,59482831,132
graph_4_aes_128_ctr_tree,build graph time,1000,63689816,135
graph_4_aes_128_ctr_tree,build graph time,1000,69183436,138
graph_4_aes_128_ctr_tree,build graph time,1000,67132435,141
graph_4_aes_128_ctr_tree,build graph time,1000,67141551,144
graph_4_aes_128_ctr_tree,build graph time,1000,67109388,147
graph_4_aes_128_ctr_tree,build graph time,1000,73736655,150
graph_4_aes_128_ctr_tree,build graph time,1000,72863018,153
graph_4_aes_128_ctr_tree,build graph time,1000,72462578,156
graph_4_aes_128_ctr_tree,build graph time,1000,74191608,159
graph_4_aes_128_ctr_tree,build graph time,1000,78983931,162
graph_4_aes_128_ctr_tree,build graph time,1000,79651081,165
graph_4_aes_128_ctr_tree,build graph time,1000,80047397,168
graph_4_aes_128_ctr_tree,build graph time,1000,84774546,171
graph_4_aes_128_ctr_tree,build graph time,1000,82954192,174
graph_4_aes_128_ctr_tree,build graph time,1000,81284006,177
graph_4_aes_128_ctr_tree,build graph time,1000,82004870,180
graph_4_aes_128_ctr_tree,build graph time,1000,87647449,183
graph_4_aes_128_ctr_tree,build graph time,1000,85651048,186
graph_4_aes_128_ctr_tree,build graph time,1000,85018667,189
graph_4_aes_128_ctr_tree,build graph time,1000,93185526,192
graph_4_aes_128_ctr_tree,build graph time,1000,97162876,195
graph_4_aes_128_ctr_tree,build graph time,1000,94319981,198
graph_4_aes_128_ctr_tree,build graph time,1000,96833361,201
graph_4_aes_128_ctr_tree,build graph time,1000,93984482,204
graph_4_aes_128_ctr_tree,build graph time,1000,102511824,207
graph_4_aes_128_ctr_tree,build graph time,1000,98485629,210
graph_4_aes_128_ctr_tree,build graph time,1000,103312169,213
graph_4_aes_128_ctr_tree,build graph time,1000,101592641,216
graph_4_aes_128_ctr_tree,build graph time,1000,101433967,219
graph_4_aes_128_ctr_tree,build graph time,1000,106974088,222
graph_4_aes_128_ctr_tree,build graph time,1000,106391201,225
graph_4_aes_128_ctr_tree,build graph time,1000,115283603,228
graph_4_aes_128_ctr_tree,build graph time,1000,112109633,231
graph_4_aes_128_ctr_tree,build graph time,1000,109270674,234
graph_4_aes_128_ctr_tree,build graph time,1000,111622715,237
graph_4_aes_128_ctr_tree,build graph time,1000,110992178,240
graph_4_aes_128_ctr_tree,build graph time,1000,113564732,243
graph_4_aes_128_ctr_tree,build graph time,1000,113439259,246
graph_4_aes_128_ctr_tree,build graph time,1000,112499752,249
graph_4_aes_128_ctr_tree,build graph time,1000,123005034,252
graph_4_aes_128_ctr_tree,build graph time,1000,125924068,255
graph_4_aes_128_ctr_tree,build graph time,1000,122293569,258
graph_4_aes_128_ctr_tree,build graph time,1000,122345993,261
graph_4_aes_128_ctr_tree,build graph time,1000,123853594,264
graph_4_aes_128_ctr_tree,build graph time,1000,129768933,267
graph_4_aes_128_ctr_tree,build graph time,1000,123988225,270
graph_4_aes_128_ctr_tree,build graph time,1000,123599792,273
graph_4_aes_128_ctr_tree,build graph time,1000,132380420,276
graph_4_aes_128_ctr_tree,build graph time,1000,133877034,279
graph_4_aes_128_ctr_tree,build graph time,1000,132829009,282
graph_4_aes_128_ctr_tree,build graph time,1000,130507482,285
graph_4_aes_128_ctr_tree,build graph time,1000,138184117,288
graph_4_aes_128_ctr_tree,build graph time,1000,135630949,291
graph_4_aes_128_ctr_tree,build graph time,1000,139391991,294
graph_4_aes_128_ctr_tree,build graph time,1000,144135087,297
graph_4_aes_128_ctr_tree,build graph time,1000,144340993,300
