group,function,value,sample_time_nanos,iteration_count
graph_8_aes_128_ctr_compare,build graph time (naive),10000,273878812,1
graph_8_aes_128_ctr_compare,build graph time (naive),10000,264504601,2
graph_8_aes_128_ctr_compare,build graph time (naive),10000,355687936,3
graph_8_aes_128_ctr_compare,build graph time (naive),10000,997864501,4
graph_8_aes_128_ctr_compare,build graph time (naive),10000,835418104,5
graph_8_aes_128_ctr_compare,build graph time (naive),10000,580914243,6
graph_8_aes_128_ctr_compare,build graph time (naive),10000,332197604,7
graph_8_aes_128_ctr_compare,build graph time (naive),10000,1397864369,8
graph_8_aes_128_ctr_compare,build graph time (naive),10000,830578919,9
graph_8_aes_128_ctr_compare,build graph time (naive),10000,862731543,10
graph_8_aes_128_ctr_compare,build graph time (naive),10000,1834728880,11
graph_8_aes_128_ctr_compare,build graph time (naive),10000,2033093318,12
graph_8_aes_128_ctr_compare,build graph time (naive),10000,2093830467,13
graph_8_aes_128_ctr_compare,build graph time (naive),10000,1815584286,14
graph_8_aes_128_ctr_compare,build graph time (naive),10000,2268610708,15
graph_8_aes_128_ctr_compare,build graph time (naive),10000,1896629579,16
graph_8_aes_128_ctr_compare,build graph time (naive),10000,2063564980,17
graph_8_aes_128_ctr_compare,build graph time (naive),10000,2830004935,18
graph_8_aes_128_ctr_compare,build graph time (naive),10000,2938451363,19
graph_8_aes_128_ctr_compare,build graph time (naive),10000,2331466777,20
graph_8_aes_128_ctr_compare,build graph time (naive),10000,2622668704,21
graph_8_aes_128_ctr_compare,build graph time (naive),10000,3743510683,22
graph_8_aes_128_ctr_compare,build graph time (naive),10000,2709530240,23
graph_8_aes_128_ctr_compare,build graph time (naive),10000,3701270712,24
graph_8_aes_128_ctr_compare,build graph time (naive),10000,4278862373,25
graph_8_aes_128_ctr_compare,build graph time (naive),10000,3237439919,26
graph_8_aes_128_ctr_compare,build graph time (naive),10000,3931111586,27
graph_8_aes_128_ctr_compare,build graph time (naive),10000,3979317465,28
graph_8_aes_128_ctr_compare,build graph time (naive),10000,3440977723,29
graph_8_aes_128_ctr_compare,build graph time (naive),10000,4842073599,30
graph_8_aes_128_ctr_compare,build graph time (naive),10000,5079858021,31
graph_8_aes_128_ctr_compare,build graph time (naive),10000,3993237488,32
graph_8_aes_128_ctr_compare,build graph time (naive),10000,4515451892,33
graph_8_aes_128_ctr_compare,build graph time (naive),10000,3916573688,34
graph_8_aes_128_ctr_compare,build graph time (naive),10000,4208887224,35
graph_8_aes_128_ctr_compare,build graph time (naive),10000,4283003336,36
graph_8_aes_128_ctr_compare,build graph time (naive),10000,4082161344,37
graph_8_aes_128_ctr_compare,build graph time (naive),10000,5109597156,38
graph_8_aes_128_ctr_compare,build graph time (naive),10000,6005305383,39
graph_8_aes_128_ctr_compare,build graph time (naive),10000,4691566633,40
graph_8_aes_128_ctr_compare,build graph time (naive),10000,5824172272,41
graph_8_aes_128_ctr_compare,build graph time (naive),10000,5935367456,42
graph_8_aes_128_ctr_compare,build graph time (naive),10000,5894398279,43
graph_8_aes_128_ctr_compare,build graph time (naive),10000,6091044909,44
graph_8_aes_128_ctr_compare,build graph time (naive),10000,6260624837,45
graph_8_aes_128_ctr_compare,build graph time (naive),10000,6794604998,46
graph_8_aes_128_ctr_compare,build graph time (naive),10000,4806965469,47
graph_8_aes_128_ctr_compare,build graph time (naive),10000,7524957504,48
graph_8_aes_128_ctr_compare,build graph time (naive),10000,6101324884,49
graph_8_aes_128_ctr_compare,build graph time (naive),10000,7076957086,50
graph_8_aes_128_ctr_compare,build graph time (naive),10000,7496963835,51
