group,function,value,sample_time_nanos,iteration_count
graph_8_aes_128_ctr_compare,build graph time (tree),10,2114618,2
graph_8_aes_128_ctr_compare,build graph time (tree),10,1849677,4
graph_8_aes_128_ctr_compare,build graph time (tree),10,6885315,6
graph_8_aes_128_ctr_compare,build graph time (tree),10,6794627,8
graph_8_aes_128_ctr_compare,build graph time (tree),10,9984015,10
graph_8_aes_128_ctr_compare,build graph time (tree),10,13326633,12
graph_8_aes_128_ctr_compare,build graph time (tree),10,9730536,14
graph_8_aes_128_ctr_compare,build graph time (tree),10,15232422,16
graph_8_aes_128_ctr_compare,build graph time (tree),10,14999222,18
graph_8_aes_128_ctr_compare,build graph time (tree),10,17921544,20
graph_8_aes_128_ctr_compare,build graph time (tree),10,13951595,22
graph_8_aes_128_ctr_compare,build graph time (tree),10,21298181,24
graph_8_aes_128_ctr_compare,build graph time (tree),10,21932286,26
graph_8_aes_128_ctr_compare,build graph time (tree),10,22451581,28
graph_8_aes_128_ctr_compare,build graph time (tree),10,23732498,30
graph_8_aes_128_ctr_compare,build graph time (tree),10,26938560,32
graph_8_aes_128_ctr_compare,build graph time (tree),10,26797607,34
graph_8_aes_128_ctr_compare,build graph time (tree),10,35642916,36
graph_8_aes_128_ctr_compare,build graph time (tree),10,33012899,38
graph_8_aes_128_ctr_compare,build graph time (tree),10,35362715,40
graph_8_aes_128_ctr_compare,build graph time (tree),10,37324575,42
graph_8_aes_128_ctr_compare,build graph time (tree),10,40683972,44
graph_8_aes_128_ctr_compare,build graph time (tree),10,39389562,46
graph_8_aes_128_ctr_compare,build graph time (tree),10,44975750,48
graph_8_aes_128_ctr_compare,build graph time (tree),10,42574573,50
graph_8_aes_128_ctr_compare,build graph time (tree),10,42678917,52
graph_8_aes_128_ctr_compare,build graph time (tree),10,48147008,54
graph_8_aes_128_ctr_compare,build graph time (tree),10,45359029,56
graph_8_aes_128_ctr_compare,build graph time (tree),10,50322542,58
graph_8_aes_128_ctr_compare,build graph time (tree),10,47821959,60
graph_8_aes_128_ctr_compare,build graph time (tree),10,51889323,62
graph_8_aes_128_ctr_compare,build graph time (tree),10,56781672,64
graph_8_aes_128_ctr_compare,build graph time (tree),10,62835733,66
graph_8_aes_128_ctr_compare,build graph time (tree),10,61372726,68
graph_8_aes_128_ctr_compare,build graph time (tree),10,56939885,70
graph_8_aes_128_ctr_compare,build graph time (tree),10,62754449,72
graph_8_aes_128_ctr_compare,build graph time (tree),10,79045513,74
graph_8_aes_128_ctr_compare,build graph time (tree),10,62733042,76
graph_8_aes_128_ctr_compare,build graph time (tree),10,72724303,78
graph_8_aes_128_ctr_compare,build graph time (tree),10,66672086,80
graph_8_aes_128_ctr_compare,build graph time (tree),10,63331964,82
graph_8_aes_128_ctr_compare,build graph time (tree),10,70235951,84
graph_8_aes_128_ctr_compare,build graph time (tree),10,81026520,86
graph_8_aes_128_ctr_compare,build graph time (tree),10,72499643,88
graph_8_aes_128_ctr_compare,build graph time (tree),10,78402275,90
graph_8_aes_128_ctr_compare,build graph time (tree),10,84042673,92
graph_8_aes_128_ctr_compare,build graph time (tree),10,86638241,94
graph_8_aes_128_ctr_compare,build graph time (tree),10,85672363,96
graph_8_aes_128_ctr_compare,build graph time (tree),10,84196821,98
graph_8_aes_128_ctr_compare,build graph time (tree),10,87161332,100
graph_8_aes_128_ctr_compare,build graph time (tree),10,88603320,102
graph_8_aes_128_ctr_compare,build graph time (tree),10,96780403,104
graph_8_aes_128_ctr_compare,build graph time (tree),10,90961787,106
graph_8_aes_128_ctr_compare,build graph time (tree),10,93488077,108
graph_8_aes_128_ctr_compare,build graph time (tree),10,99092853,110
graph_8_aes_128_ctr_compare,build graph time (tree),10,105902416,112
graph_8_aes_128_ctr_compare,build graph time (tree),10,95832254,114
graph_8_aes_128_ctr_compare,build graph time (tree),10,104817061,116
graph_8_aes_128_ctr_compare,build graph time (tree),10,110839635,118
graph_8_aes_128_ctr_compare,build graph time (tree),10,111457691,120
graph_8_aes_128_ctr_compare,build graph time (tree),10,112799445,122
graph_8_aes_128_ctr_compare,build graph time (tree),10,109511394,124
graph_8_aes_128_ctr_compare,build graph time (tree),10,111813486,126
graph_8_aes_128_ctr_compare,build graph time (tree),10,110399408,128
graph_8_aes_128_ctr_compare,build graph time (tree),10,112208230,130
graph_8_aes_128_ctr_compare,build graph time (tree),10,124644863,132
graph_8_aes_128_ctr_compare,build graph time (tree),10,110752032,134
graph_8_aes_128_ctr_compare,build graph time (tree),10,111766962,136
graph_8_aes_128_ctr_compare,build graph time (tree),10,120046232,138
graph_8_aes_128_ctr_compare,build graph time (tree),10,120025686,140
graph_8_aes_128_ctr_compare,build graph time (tree),10,125493877,142
graph_8_aes_128_ctr_compare,build graph time (tree),10,125039406,144
graph_8_aes_128_ctr_compare,build graph time (tree),10,139746641,146
graph_8_aes_128_ctr_compare,build graph time (tree),10,133574284,148
graph_8_aes_128_ctr_compare,build graph time (tree),10,129343457,150
graph_8_aes_128_ctr_compare,build graph time (tree),10,148971862,152
graph_8_aes_128_ctr_compare,build graph time (tree),10,134450299,154
graph_8_aes_128_ctr_compare,build graph time (tree),10,143339051,156
graph_8_aes_128_ctr_compare,build graph time (tree),10,141225071,158
graph_8_aes_128_ctr_compare,build graph time (tree),10,142933162,160
graph_8_aes_128_ctr_compare,build graph time (tree),10,137980758,162
graph_8_aes_128_ctr_compare,build graph time (tree),10,129188102,164
graph_8_aes_128_ctr_compare,build graph time (tree),10,148777662,166
graph_8_aes_128_ctr_compare,build graph time (tree),10,137624702,168
graph_8_aes_128_ctr_compare,build graph time (tree),10,142699145,170
graph_8_aes_128_ctr_compare,build graph time (tree),10,145413622,172
graph_8_aes_128_ctr_compare,build graph time (tree),10,146320875,174
graph_8_aes_128_ctr_compare,build graph time (tree),10,157333354,176
graph_8_aes_128_ctr_compare,build graph time (tree),10,158056075,178
graph_8_aes_128_ctr_compare,build graph time (tree),10,156758405,180
graph_8_aes_128_ctr_compare,build graph time (tree),10,148676071,182
graph_8_aes_128_ctr_compare,build graph time (tree),10,175660484,184
graph_8_aes_128_ctr_compare,build graph time (tree),10,169462533,186
graph_8_aes_128_ctr_compare,build graph time (tree),10,167273183,188
graph_8_aes_128_ctr_compare,build graph time (tree),10,165115747,190
graph_8_aes_128_ctr_compare,build graph time (tree),10,170780570,192
graph_8_aes_128_ctr_compare,build graph time (tree),10,156842485,194
graph_8_aes_128_ctr_compare,build graph time (tree),10,167444863,196
graph_8_aes_128_ctr_compare,build graph time (tree),10,171313167,198
graph_8_aes_128_ctr_compare,build graph time (tree),10,182455365,200
