group,function,value,sample_time_nanos,iteration_count
graph_8_aes_128_ctr_compare,build graph time (tree),100,1356591,2
graph_8_aes_128_ctr_compare,build graph time (tree),100,3875330,4
graph_8_aes_128_ctr_compare,build graph time (tree),100,3377113,6
graph_8_aes_128_ctr_compare,build graph time (tree),100,6500671,8
graph_8_aes_128_ctr_compare,build graph time (tree),100,5780252,10
graph_8_aes_128_ctr_compare,build graph time (tree),100,6867078,12
graph_8_aes_128_ctr_compare,build graph time (tree),100,10448676,14
graph_8_aes_128_ctr_compare,build graph time (tree),100,9702042,16
graph_8_aes_128_ctr_compare,build graph time (tree),100,11838279,18
graph_8_aes_128_ctr_compare,build graph time (tree),100,11914083,20
graph_8_aes_128_ctr_compare,build graph time (tree),100,14519896,22
graph_8_aes_128_ctr_compare,build graph time (tree),100,14056878,24
graph_8_aes_128_ctr_compare,build graph time (tree),100,15705770,26
graph_8_aes_128_ctr_compare,build graph time (tree),100,20176476,28
graph_8_aes_128_ctr_compare,build graph time (tree),100,18739643,30
graph_8_aes_128_ctr_compare,build graph time (tree),100,20370473,32
graph_8_aes_128_ctr_compare,build graph time (tree),100,21755346,34
graph_8_aes_128_ctr_compare,build graph time (tree),100,21761645,36
graph_8_aes_128_ctr_compare,build graph time (tree),100,26251771,38
graph_8_aes_128_ctr_compare,build graph time (tree),100,25336996,40
graph_8_aes_128_ctr_compare,build graph time (tree),100,27229795,42
graph_8_aes_128_ctr_compare,build graph time (tree),100,24025520,44
graph_8_aes_128_ctr_compare,build graph time (tree),100,26346756,46
graph_8_aes_128_ctr_compare,build graph time (tree),100,29526618,48
graph_8_aes_128_ctr_compare,build graph time (tree),100,29821844,50
graph_8_aes_128_ctr_compare,build graph time (tree),100,33200957,52
graph_8_aes_128_ctr_compare,build graph time (tree),100,37426177,54
graph_8_aes_128_ctr_compare,build graph time (tree),100,33119997,56
graph_8_aes_128_ctr_compare,build graph time (tree),100,38790999,58
graph_8_aes_128_ctr_compare,build graph time (tree),100,35314542,60
graph_8_aes_128_ctr_compare,build graph time (tree),100,42481785,62
graph_8_aes_128_ctr_compare,build graph time (tree),100,39447186,64
graph_8_aes_128_ctr_compare,build graph time (tree),100,44192936,66
graph_8_aes_128_ctr_compare,build graph time (tree),100,46888022,68
graph_8_aes_128_ctr_compare,build graph time (tree),100,43685754,70
graph_8_aes_128_ctr_compare,build graph time (tree),100,46178329,72
graph_8_aes_128_ctr_compare,build graph time (tree),100,44419584,74
graph_8_aes_128_ctr_compare,build graph time (tree),100,47511784,76
graph_8_aes_128_ctr_compare,build graph time (tree),100,46984003,78
graph_8_aes_128_ctr_compare,build graph time (tree),100,51619746,80
graph_8_aes_128_ctr_compare,build graph time (tree),100,53783232,82
graph_8_aes_128_ctr_compare,build graph time (tree),100,55722812,84
graph_8_aes_128_ctr_compare,build graph time (tree),100,53664483,86
graph_8_aes_128_ctr_compare,build graph time (tree),100,55585197,88
graph_8_aes_128_ctr_compare,build graph time (tree),100,56752547,90
graph_8_aes_128_ctr_compare,build graph time (tree),100,52942858,92
graph_8_aes_128_ctr_compare,build graph time (tree),100,59550077,94
graph_8_aes_128_ctr_compare,build graph time (tree),100,58657252,96
graph_8_aes_128_ctr_compare,build graph time (tree),100,67153967,98
graph_8_aes_128_ctr_compare,build graph time (tree),100,61586353,100
graph_8_aes_128_ctr_compare,build graph time (tree),100,64181421,102
graph_8_aes_128_ctr_compare,build graph time (tree),100,66814599,104
graph_8_aes_128_ctr_compare,build graph time (tree),100,70687733,106
graph_8_aes_128_ctr_compare,build graph time (tree),100,67910482,108
graph_8_aes_128_ctr_compare,build graph time (tree),100,73420129,110
graph_8_aes_128_ctr_compare,build graph time (tree),100,73781481,112
graph_8_aes_128_ctr_compare,build graph time (tree),100,72346454,114
graph_8_aes_128_ctr_compare,build graph time (tree),100,71459690,116
graph_8_aes_128_ctr_compare,build graph time (tree),100,75627289,118
graph_8_aes_128_ctr_compare,build graph time (tree),100,75781393,120
graph_8_aes_128_ctr_compare,build graph time (tree),100,78660134,122
graph_8_aes_128_ctr_compare,build graph time (tree),100,78545353,124
graph_8_aes_128_ctr_compare,build graph time (tree),100,77813982,126
graph_8_aes_128_ctr_compare,build graph time (tree),100,81665921,128
graph_8_aes_128_ctr_compare,build graph time (tree),100,83500571,130
graph_8_aes_128_ctr_compare,build graph time (tree),100,83225361,132
graph_8_aes_128_ctr_compare,build graph time (tree),100,81871745,134
graph_8_aes_128_ctr_compare,build graph time (tree),100,87074422,136
graph_8_aes_128_ctr_compare,build graph time (tree),100,88158070,138
graph_8_aes_128_ctr_compare,build graph time (tree),100,90611368,140
graph_8_aes_128_ctr_compare,build graph time (tree),100,93715771,142
graph_8_aes_128_ctr_compare,build graph time (tree),100,86757468,144
graph_8_aes_128_ctr_compare,build graph time (tree),100,99350349,146
graph_8_aes_128_ctr_compare,build graph time (tree),100,96607773,148
graph_8_aes_128_ctr_compare,build graph time (tree),100,91922205,150
graph_8_aes_128_ctr_compare,build graph time (tree),100,96746286,152
graph_8_aes_128_ctr_compare,build graph time (tree),100,98066513,154
graph_8_aes_128_ctr_compare,build graph time (tree),100,101314524,156
graph_8_aes_128_ctr_compare,build graph time (tree),100,100168755,158
graph_8_aes_128_ctr_compare,build graph time (tree),100,101678288,160
graph_8_aes_128_ctr_compare,build graph time (tree),100,100838223,162
graph_8_aes_128_ctr_compare,build graph time (tree),100,109893981,164
graph_8_aes_128_ctr_compare,build graph time (tree),100,102795198,166
graph_8_aes_128_ctr_compare,build graph time (tree),100,107450139,168
graph_8_aes_128_ctr_compare,build graph time (tree),100,106179332,170
graph_8_aes_128_ctr_compare,build graph time (tree),100,105785607,172
graph_8_aes_128_ctr_compare,build graph time (tree),100,110466566,174
graph_8_aes_128_ctr_compare,build graph time (tree),100,110248791,176
graph_8_aes_128_ctr_compare,build graph time (tree),100,110065338,178
graph_8_aes_128_ctr_compare,build graph time (tree),100,115791876,180
graph_8_aes_128_ctr_compare,build graph time (tree),100,109801491,182
graph_8_aes_128_ctr_compare,build graph time (tree),100,118453117,184
graph_8_aes_128_ctr_compare,build graph time (tree),100,116183379,186
graph_8_aes_128_ctr_compare,build graph time (tree),100,121689517,188
graph_8_aes_128_ctr_compare,build graph time (tree),100,122447897,190
graph_8_aes_128_ctr_compare,build graph time (tree),100,120541342,192
graph_8_aes_128_ctr_compare,build graph time (tree),100,124407472,194
graph_8_aes_128_ctr_compare,build graph time (tree),100,121003541,196
graph_8_aes_128_ctr_compare,build graph time (tree),100,125466589,198
graph_8_aes_128_ctr_compare,build graph time (tree),100,121814194,200
